scaf_smi,frag_size
*=*1**(=*)*2:*:*3:*:*:*:*:*:3:*:*:2*1,16
*1**2***3=*4*****4**3*2*1,16
*=************=*,14
*=*1**2**3***=**3**2=*1,14
**=*1*(=*)***1=*,9
*1*=**2:*1:*1:*(:*3:*:2**=*3)**=*1,15
***(=*)*(****=*(*)*)**(=*)=*,16
**(*)*****(*(*)*)*(*)=*,14
*=*1**2*3****3*=***2*1=*,15
***=*(*)*=*,7
*=*1**2****=**2*1=*,12
*=*1(=*)******2:*:*:*:*:*:21,14
*=*1*2**2*(=*)*2**21,10
*1*2**3**2**13,8
**(**(*)(=*)=*)*=*,9
*=*1***2*1**1*****1*2=*,15
**1(*=*)****1,8
*1*2*3*4**5*3*1*1*2*4*51,12
*1***23**=***2(*1)*3,11
*=*1*2**3*(*2)*31,8
*=*1*****=***(=*)***=**1,16
*1***2*(*1)***1**=**12,13
*=*1**2:*(:*:*:*3:*:*:*:*:*:2:3)*1=*,15
***(=*)**(*=*)*=*,10
*1*2**3**1**(*2)*31**1,12
*****1***1,8
***=*(*)*=**(=*)**,11
*=*1*****2****2=*1,12
***********(=*)*(*)(*)*,16
*=*1***2(**=**2)*=*1,11
*=*1**2*3***=**3***2*1=*,15
**(*)***(***(*)*)*(*)=*,14
*=***=*1*******1,12
*=*1*=**2=***3***=**3*2=*1,15
***(**)*(=*)***(=*)=*,12
*=*1***2***3*****3*21,14
*=*1*****2:*:*3:*:*:*:*:*:3:*:*:21,16
*=*1***2(**2)*1,8
*=*1***2**3*****3**21,14
*=*1:*:*:*2:*:*:*(=*):*3:*:2:*:1**3,14
*1***2:*:*3:*(:*:*:2*1)****3,14
****(**=*)*(=*)*(*)*,12
**(**(*)=*)*#*,8
*=*1***2**=***21,10
*1**2***3*=***23*1,11
*1*2*=**13*=**=**31*=**21,13
*=****(=*)***=*,10
*1**2***=***2*1,10
*1***2*(*1)**1*=***12,12
*=*1**2**1**(=*)*1:*:*:*:*:*:12,15
*=*1******=****=*1,13
***(**)*(=*)**,9
****=****(*)=*,10
**(*)**(*)***=*,10
*=*1**=****=**(=*)*=*1,13
*=*1****2*1****1:*:*:*:*:*:12,16
**(****=*)**(*)(=*)=*,12
***1:*:*:*(:*):*:*:1,9
*=*1**2**34****3***4*23**13,16
*1***(**2:*:*:*:*:*:2)**1,13
*1***2(=**=**=*2)**1,11
*=*1:*:*:*2:*3:*(:*:*:*:*:1:3)***21**1,16
*=*1**2*(**3***2*3=*)*=*1,14
*=*1:*:*:*:*2:*(=*):*:*:*:*:1:2,12
*1**2*=**1*1:*:*:*:*:*:12,12
*=*1****23***(**2)**13,13
*=*1***2***3*****3*2*1,15
**(=*)**(=*)(=*)**=*,10
*=*1***2:*:*:*:*:*:2**12****2,16
**(***=*)*(*)=*,9
*=*1***2=*1**1**1*2,11
*=*1**(=*)(=*)*2:*:*:*:*:*:2*1=*,14
*1***2*(=**1)**1:*:*:*:*:*:12,14
*=*1**2*=****2*2*****21,15
*=*1****2*(=*1)*=**1:*:*:*:*:*:12,16
*1**2**3***4(**=***34)**2*1,16
*=*1***(=*)*2:*:*:*:*3:*:*:*:*1:*:2:3,16
*=*1**=*2******2*1,12
***(*)(=*)**(*)(=*)**(*)=*,13
**********(=*)*****,16
****(=*)*(*)****=*,12
*=*1**2***3**4**4*(=*)*3*2*1,16
**(*****(*)=*)*(*)=*,12
*=*1**2:*:*:*3:*(:*:2*1=*)***3,14
*=*1***2=**3=**=**3=*12,12
*1*=**2*=**=**12,9
*:*:*:*:*1:*:*:*:*:*:1:*:*,12
****1:*:*:*:*:*:1,9
*=*1:*:*:*(=*):*2:*:*3:*:*:*:*:3:*:*:1:2,15
*=*1****1=*1:*:*(=*):*(=*):*:1,13
*1**2:*:*3:*:*:*:*:3:*3:*:*:*:*1:*:2:3,15
*=*1***2**(=*)***2*1,12
*=*1****=****1,10
**1:*:*:*:*2:*:*:*:*(***=*):*:1:2,15
**(**(=*)*(*)*)*=**(*)=*,13
*=*1***(=*)*2****2=*1,12
***(=*)*(*)(*)**=*,10
***(=*)(=*)**(=*)*(*)***(*)=*,15
*=*1**2*=**=**2*1,10
*1*=**2:*:*:*:*3:*:*:*:*1:*:2:3,13
*1**2*3**=**2**1*3,11
*=*1**2*(***3**32)**2****21,16
*=*1*(=*)*2:*:*:*:*3:*:*:*:*1:*:2:3,14
*=*1**2**3***3****2*1=*,15
*1**#***=**#**1,10
*=*1:*:*2:*(:*:1)**=**2,10
****(**)**=*,9
**(=*)*(*****(*)(*)=*)**=*,15
***(*)*(*)*(*)=*,9
******(*)(=*)**(*)(*)=*,13
**(*)**(**(*)=*)*(*)=*,12
**(=*)*:*:*:*:*:*:*:*:*,12
*=*1***2:*:*:*3:*(:*:2*1)****3,15
*1*=**2:*1:*:*:*1:*:*:*:*:*:2:1,13
*=*1**2:*:*3:*:*(=*):*:*:3:*:*:2*1=*,15
****(*)(=*)*(*)(*)*(*)(=*)**,14
*=*1***(=*)*2*1******2=*,15
***(=*)(=*)*=*,7
*1**2:*:*:*:*3:*:*:*:*1:*:2:3,12
*=*1*2**23**2****2*3*1=*,14
*=*1***2=*1*1(****1)*=**2,14
***(=*)**=*1*(=*)**2:*:*:*:*:*:21,16
**(*)(*)*(*)(*)=*,8
*=*1****2=*1*1(*****1)**=*2,16
*=*(:*):*:*:*:*,7
*=*1**2*3***(*3)*2*1,11
*1***=*2***(****=**1)**2,16
***(=*)**(**(*)=*)*(=*)***=*,16
*1****=****=****1,13
*****(*)(*)****(*)*,13
*1**2**2**2**2***2**12,14
**(=*)*(*)=*(*)*(*)=*,10
**(=*)**(=*)(=*)***(**=*)*(*)=*,16
*=*1*****=****2*1***2=*,16
*=*(:*):*,4
*=*********#*,11
****(=*)**(*)*=*,10
*=*1*=**23**2****3=*1,12
**(=*)**(****(*)(=*)=*)**(*)=*,16
*=*1***2***3:*:*:*:*:*:3*2**1,16
*=*1**2**3**2*1*3,10
*=*1****2=*1**1=****1=*2,14
**(*(*)=*)*(=*)*(*)=*,10
*=*1**2(**2)*=*2*(=*)**=*12,13
*=*1*2**=**=*2*2:*:*:*:*:*:21,14
*1**2:*:*:*3:*:*:*:*:3:*:2*1,12
*****(*)*(=*)(=*)**=*,12
*=*1**2**3****3*2=*1,12
*=*1(=*)*=**2:*:*:*:*:2*2:*:*:*:*:*:21,16
**(*)*=*1**(=*)*=*1,10
*=*1(=*)***2*****3:*:*:*:*1:*:32,16
*=*1***2**2*=***2****2*1,16
****=****=*,9
**=*(*)******=*,11
*=*1*2=*(*=***2)*(=*)*2:*:*:*:*:*:21,16
*1**2***3***(=*1)*23,11
*=*1***2:*:*3:*:*:*:*:*:3:*:21,13
*1*2**2*2**12,7
*=*1***(=*)*2*1**1=**=***21,15
****1:*:*:*(:*):*:*:1,10
*1***2**3=*(****3)**2*1,14
*1*=**2:*:*:*:*:*:21,9
****1:*:*:*2:*(:*:1=*)***2,13
*1**2*3**4**2(*1)*1***3*41,14
***(*(**(=*)**)*(*)=*)*(=*)**,16
*=**=*1*(=*)**2:*:*:*:*:*:21,13
****(***)**(*)=*,11
******(**(=*)**(*)*)*(*)=*,16
****#***,7
*1**=*2:*:*:*:*:2=*1,9
*1***2(**1)***2,9
*=*1*=***12**1:*:*:*:*:*:1*2,14
*****(=*)**,8
*=*************=*,15
**(*)***(=*)**(=*)=*,11
*=*****(=*)***=*,11
*=*1*2***3*****(*=*2)*31,14
**=*(*#*)*#*,7
*****(=*)*(*)=*,9
*1***2**3(***2*1)**3,12
***(=*)*****(=*)**,12
*******(*)**(*)=*,12
*=*1*=**2*3*****3*=***21,15
**=*(*)****(*)=**(=*)**(*)*,16
*=*1*=***12***=**2,11
*=*1(=*)***23**(**21)*1**13,13
*=*1*******2*****2*1,15
*=*1:*:*(=*):*2:*:1*1**3**3*2*=*1,15
*=*,2
*1**2:*:*:*3:*:*:*:*:3:*:2*=*1,13
***(=*)**(=*)*(*)=*,10
*1*=***2:*:*:*:*:*:21,10
*1=**2:*:*3:*:*:*:*:*:3:*:*:21,12
*=*1***2:*:*3:*:*:*:*:*:3:*:2**1,15
**********(=*)*(*)(*)*,15
*:*:*:*:*****1:*:*:*:*:1,13
****(=*)****#*,10
**(=*)*=**=*,7
*=***(=*)(=*)*:*:*:*:*,11
***(*)***(**)(**)**,13
*******(=*)****,12
*1**2*3*=**1*23,8
*=*1***2:*:*:*:*(=*):*:2*1,12
*=*1**2*=***3**3****2*1=*,16
*=*1***2*1*=**1:*:*:*:*:*:12,14
*=*1**2(***3***=**32)*(=*)*=*1,16
****(=*)***(*)(*)*,11
*1*=**2:*:*:*3:*:*:*:*4:*:3:*:2*1=**4,16
***(=*)*(**=*)*(*)*,11
**=**#**,6
*1***2(*1)***=**2,10
*=*1**=**2:*:*:*:*3:*:2*1**3,14
**(*)*(*)*(=*)******=*,14
*=*1***2*1***21*****1,14
*1**=**2(*1)**=**2,10
**(=*)***(=*)****(=*)=*,13
*1**2=*(***3:*:*:*:*:*:32)*=*1,14
*1*2:*:*:*:*:*:2*2:*:*:*:*:21,12
*****(=*)*(*)**,10
*******(=*)*(*)(*)**(=*)=*,15
***(=*)*(***(*)=*)**=*,13
*=*1***2:*:*3:*(:*:2*1)****3,14
*=*1**2:*:*:*:*:*:2*2******21,16
*=*1**2**3*(****3=*)**2=*1,15
***=***(*)*=*,9
****(***)***(*)*(*)=*,14
**(*)**(=*)=*,7
*=*1***2(**3***2**3)*1,13
**(*)(*)****(=*)(=*)**(*)(*)*,15
*****(=*)*(*)**(=*)**(*)(*)*,16
*1***2*(*1)****1:*:*:*:*:12,14
**#*,3
*1**2****3=****3*=*2*1,14
*=*1**2:*:*:*:*(=*):*:2*2****21,15
*1**2(**=*1)**1***2**1,13
*=*1*2=**3**3**2**2:*:*:*:*:*:21,16
*=*1*=**(=*)*2*1**1:*:*:*:*:*:12,15
*1***2(**1)*=**=*2,10
*1**2**1**21***2:*:*:*:*:*:2*1,16
*=*1***2***3**(=*)*=*3**2=*1,16
*=*1:*:*:*2:*(:*:1)********2,15
*=*1:*2:*(:*:*3:*:*:*:*:*:1:3)**=***2,16
******(=*)**(****)*(*)=*,16
*=*1*=*2****3:*:*:*:*1:*:32,13
*=*1****2=***(=*)*12,11
***(**)*=**,8
***(=*)*(*=*)*(*)=*,10
*=*1:*:*:*:*2:*:1*1:*:*:*:*:*:1*2(=*)=*,16
*1**2(***3:*:*:*:*:*:3*2)**=*1,15
*=*1*=**=*2*=**=**12,11
*=*1:*:*:*2:*:1*1***2*1,11
*=*1**2**3*=****3***2*1=*,16
*.******:*:*,9
*1**2=***1**2,8
*1**2**1*1***3:*:*:*:*:*:3*21,15
*=*1*2*3**4*5*3**2*5*41,12
**(*)***(=*)***=*,11
*1***2(**1)***1(*****1)**2,16
***(**=*)*(=*)**,10
**(*)*****(=*)=*,10
*=*1***2**3***2(*3)*1,12
**=****=**(=*)*=*,11
***(=*)**(*)**(*)=*,11
*=*1:*:*2:*(:*:1=*)***=2,10
**(*)(*)(*)(*)*,7
**(*)**(**=*)**(*)=*,12
*=*1***=**(=*)****=**1,14
***,3
*=*1**=*2***(=*)*2*1,11
****(*)**(=*)*=*,10
*1**2=*(*1)***2,8
*1***23****(**=*2)*3*1,13
*=*1****(=*)*(=*)*1=*,11
***=*(*)*=**(*)=*,10
***(**(=*)*(*)**(*)=*)*(*)=*,15
**(=*)****(=*)***(*)=*,13
**(*)*(*)*(*)***=*,11
**(*)*(*)**(=*)*(*)*,11
*=*1***2***3*****3*23**13,16
***(*)(*)**(=*)***=*,12
*1**2:*:*:*:*:*:2*2*=***12,13
*=*1*****=****=***1,14
****(*)(=*)**(*)(=*)**,12
******(**#*)=*****(=*)=*,16
****(=*)*(**=*)**(*)=*,13
***(**)(**)**(=*)*(*)=**=*,15
***(=*)*(*)(*)*(*)*(*)=*,12
***(**)***=***=*,12
****=*:*:*:*,8
*=**=*1*=***=*1,9
*=*1:*:*:*:*2:*:1*=*1*3**(*3)**1*2,16
*=*1**2(**2)*2***2***=*1,14
*:*.*=*:*:*:*:*:*,9
***(**=*)**(*)(=*)=*,11
**(*)***=**=*,9
**(*)******(*)*,11
*=*1**2:*:*(=*):*:*:*:2*=*1,12
**(*)***(*)***=*,11
*1**2***3***=*3*=*2*1,13
****1:*:*:*2:*:*:*:*:*:2:*:1,13
***********(=*)=*,13
***(=*)*******(=*)**=*,15
****(***)***(*)=*,12
**#****(=*)**=*,10
**1***1,5
***(=*)*(*)******=*,13
*=*1***2*3***(*3)*2**1,13
*=*1******(=*)*****1,14
*=*1****2(*1)**(=*)**2=*,13
*=*1*=**2:*:*:*(=*):*3:*:*:*:*1:*:2:3,15
*=*1**2***=****3**3*2*1,15
***(*)(=*)**(*)(=*)=*,10
***(*)***(*)(=*)**(*)*,13
*1***2(*1)*=**1***=**12,13
**(*)****(****(*)*)*=*,15
*=*1**2**3:*:*:*:*:*:3*(=*)*2*1,15
*=*1**2*(*1)*(=*)*=*1*=****21,15
*=*1**=**2:*:*:*3:*:2*1****3,15
******(**(*)=*)*=*,12
*=*1**(=*)*2=*1**1****(*1)*2=*,16
**(*)**(*)=*,7
*=**********=*,12
*=*1****2=*1***1:*:*:*:*:1*2,15
****(=*)*(*)**(=*)**(*)(*)*,15
***=*(*)*=*(*)*(=*)**,12
****(=*)**(=*)**,10
***1:*:*:*(****(*)=*):*:1,13
***(=*)*****(*)(*)*,12
**(*)(*)*(=*)**(=*)=*,10
*:*:*1:*(:*)****1,9
**(=*)***(**(=*)=*)*(*)=*,13
**=****(=*)*(*)*(*)*,12
**=*=*(*)*,6
*1**=***=*1,7
*=*1*=**2:*(:*:*:*3:*:2***3)*1=*,15
*****1:*:*:*:*:*:1*=***,14
*=*1(=*)****=*1,8
*.*=**1*****1,9
*=*1**2=****(=*)*2*=*1,12
*=*1****2=*1***1*****12,15
*1***2=*****2*=**1,12
*=*1****2**(=*)*3:*:*:*:*:*:3*21,16
*.*.*=**=*,6
**=*1**(=*)*=*1,8
*1**2**3****3(*1)*2,11
****1:*:*(=*):*2:*:*:*:*:*:2:*:1,14
*1**2***3*1***23,10
*=*1*=*2***3:*:*:*:*(:*:32)*1=*,14
****(=*)*(*)**(=*)*(*)**,14
*1**2=*(*1)*1**1*2,9
*=*1:*:*2:*:*:*(=*):*:2:*2:*:*:*:*:1:2,14
*=*1**=**2*****21,11
*=*1*****2**2****=**=*1,16
*********#*,10
*=*1*****2**2***=*1,13
*=*1**2**3*=***=**3**2*1=*,16
*=*1**2:*:*:*:*:*:2*=*2****12,15
***(*)*(=*)**(*=*)*(*)*,13
*=*****#**#*****=*,14
*=*1**(=*)*2*1*=**1:*:*:*:*:*:12,15
*=*=*****(=*)=*,9
*1**2*3*1*=***3*1:*:*:*:*:*:12,15
*=*1*2****1*1*****12,13
*=*1:*:*2:*:*:*3:*:*:*:*:3:*:2:*:1,13
*=*1**=**12*****2,11
*1**2**3***2*(*1)*3,11
*=*1****2(*****2)**1,13
*1**2*3***4:*:*:*:*:*:4*3*=*2*1,16
*=*1:*:*:*2:*(:*:1)**=**1:*:*:*:*:*:12,16
*=*1**2*=*3*(**=**3=*)**2=*1,15
*=*1**2****2*1,9
*=*1*2(**2)***12**2,10
***(**)**,7
*=*1***2**3**4:*:*:*:*:*:4*3*21,16
*=*1**2***(*2)*=*1,10
*1***2*(*1)**1*3****3***21,16
***(**(=*)***(*)=*)*(*)=*,14
***1=*****1,8
**=*(*)=*,5
*1***=***=*****=**1,14
*=*1**2*3*=**3**21,10
*=*1**=**1=*,7
***(**=*)**(*)*,10
*=*1***2*1***21****1,13
*=*1**(=*)*2*3***(*4***43)*21,15
*.****1***2*(****2=*)*1,15
***(=*)**(***(*)=*)*(*)=*,14
*1***2(*1)****1*3**3***12,15
****(=*)**(*)*(=*)**(*)*=*,15
*=*1*2*****3**3*=**1***2,16
*1**=*****2:*:*:*(:*:2)*1,13
*=*1**=*2*(*1)**1:*:*:*:*:*:12,14
*=*1(=*)***2*=***2=*1,11
*=*1****12***2,9
*=*(**:*:*:*:*)*1****1,13
*=*1:*:*:*:*2:*:*:*:*:12,10
**********(=*)***,14
**(***#*)*(*)(=*)=*,10
*=*1**2*3**3*3*(**(=*)*3=*)*2*1,16
*=*1*=*2*(=**3:*:*:*:*:*:32)*1=*,14
*=*1(=*)**2(****2)**2:*:*:*:*:*:21,16
****(=*)*****=*,11
*=*1***2=*1*1**1****2,13
*=*1**(=*)*2(*****2)*1=*,13
**(*(=*)**(*=*)*(*)(*)*)*(*)(*)*,16
*=*(:*):*:*1:*:*:*(=*):*:1,10
*1*=**2:*1:*:*:*1:*:*:*:*:2:1,12
*1**2***3:*:*:*:*:3*2*1,12
*=*1*=**23******2***1*3=*,16
*1**2***3:*:*:*:*:*:3*2*2**12,15
*=*1**2*=**3(*****3)**2*=*1,16
***(=*)*(=*)*(*)**(=*)*(*)**=*,16
***(=*)********=*,13
*=*1:*:*:*2:*:*:*:*:2:*:1,10
*1**2*=*3***4:*:*:*:*:4*3*2*1,15
*=*1:*:*(=*):*2:*:*3:*(:*:2:*:1)****3,15
*=*1*=**2:*(:*:*:*3:*:2****3)*1=*,16
*=*1:*:*:*2:*3:*:*:*:*:3:*:*:*:12,13
**(*)*(=*)**(*)=*,9
*1**2**(*1)*=*2,8
**(*)*(=*)*(*)*(=*)=*,10
****=**#**(*)(*)*,11
*1***23**(**2*1)*1:*:*:*:*:*:1*3,16
***(=*)********(*)*(*)=*,16
*1***2*(*1)**1***3:*:*:*:*2:*:31,16
**(=*)**=*(*)*,8
*=*1*=**2(*****2)**12****2,16
**(*)(*)*(**(=*)*****=*)*=*,16
**(=*)=**(*)(=*)=*,8
*=*1**2*(***3*2**(=*)*3=*)*=*1,16
*=*1**2****2*2=*1**1***2*1,16
*1**2***34****2(*1)*3***=*4,16
*1*****2:*:*:*:*(:*:2)***1,14
*=*1**=*2**(=*)*3:*:*:*:*:*:3*2*1,16
**(*#*)*#*,6
*1*2**3*(**4:*:*:*:*:*:43)*12,13
****(=*)********(*)=*,15
*=*1***2(*1)*(=*)**1:*:*:*:*:*:12,15
*=*1**=**12***=**2=*,12
****(*=*)*(*)*,9
*=*1:*:*:*2:*3:*(:*:*:2:*:1)****3,14
*=*1**=*2*3:*:*:*:*:*:3*3**=**312,16
****(*)*****(*)*,12
*=*1**(=*)*2*1*****2(=*)=*,14
**(=*)*(**=*)**#*,10
***(=*)*(*)**(=*)*=*,11
*=*1**2*(***=*3****23)*1=*,15
*=*1***2:*1:*:*:*1:*:2***1,13
*1*2**3*1*3*2,7
*=*1**2***3:*:*:*:*:*:3*2**1=*,16
*=*1***2*(**(=*)*2=*)*2*=***21,16
*=*1***2**3***=*3**=**21,15
*=*1**2=*(***2)*1=*,10
*1=**2:*:*:*:*:2*=*1,9
*****(=*)*(***)***#*,14
**(**(=*)***=*)*(*)=*,12
*=*1****2=******12,12
****(=*)*(*)**,9
*=*1**2*******2*=*1,13
*=*1****2:*(:*:*:*:*:2=*)*1,13
*=*1**2*=*****2*1=*,12
***=**(*)(*)(*)(*)*,10
***(*)***(=*)**,10
**(:*):*,4
*=*1(=*)****2******21,13
*=*1***2**3:*:*:*:*:*:3*=*21,14
*=*1*****2*****2*1,13
*=*1(=*)**2****1*2,10
*1***2*(*1)*1***3(****23)*1,15
*1***2*(*1)**1***2*12**2,14
*=*1:*:*2:*:*:*:*:2:*2:*:*3:*(:*:1:2)***3,16
**(*)**(**(*)*)*(=*)***=*,15
**(=*)*****(*)=*,10
*1**2:*3:*:*:*:*:*:3:*:*3:*:*:*:*1:*:2:3,16
***(=*)********=*=*,14
***=****(=*)**(*)(*)*,13
****(*)****(*)**,12
***(*)(**)*=*,8
******(=*)**(**(*)*)*(*)=*,16
*1**2***3**4**4*4**4*3*2*1,16
*1****1,5
*1*=**2:*:*:*:*3:*:2*1*=**3,13
***=*1*=**2:*:*:*:*:*:21,12
**(=*)***(=*)*(**(*)=*)**(*)=*,16
*=*=*1*(=*)**2:*:*:*:*:*:21,12
*1***2*3*****3***2=**1,15
*****(**(=*)**)*(*)=*,13
*=*1***=***2=****(**=*1)*2,16
*=*1**2:*:*:*:*:2*(=*)(=*)*1,12
**(**(=*)***(*)=*)*=*,12
**(=*)***=*(*)*(*)=*,11
*1***2:*:*:*:*(:*:2)**1,11
*1***2(**1)**1*****1*2,14
*1**12**1:*:*:*:*:*:1*2,11
*=*1(=*)***2(*****2)*1,12
*=****(=*)*=*,8
*=****(:*:*):*:*,9
*=***=*1:*:*2:*:*:*:*:*:2:*:*:1=*,15
****(*)*********=*,15
**(=*)**1:*:*:*:*:*:1,10
*=*1**2****3****1=*32,13
*1**2**1**1**21,9
*=*1:*:*:*2:*:*(:*:*):*:*:*2:*:1,13
*1=**2*=**3:*:*:*:*:3*2*=*1,13
*=*1**2**(=*)**(=*)*2*1,12
**(=*)**(*)(*)*=*,9
*=*1(=*)*****12***2,11
*1***2*3***(*3)*2**1,12
*1:*:*2:*:*3:*:*4:*:*:*:*:*:4:*:3:*:*:2:*:1,16
*=**=*1**2:*:*:*:*:*:2*1,12
*1*=*2:*:*:*3:*:2*1*=**=3,11
*=*1***2**3**=**3**=**21,15
*=*1***2=*1***1:*:*:*:*:*:1*2,15
*=*1**2*(*1)*1:*:*:*:*:*:1*2=*,14
*1***2(**1)****1:*:*:*:*:12,14
*=*1*2****3(****13)*(=*)*2,14
*=*1**2:*:*:*:*(=*):*:2*=*1,12
*1**2**=**=**2*1,10
*=*1:*2:*(:*:*3:*:1****3)****2,15
**=**#*,5
*=*1*=**2:*:*:*:*3:*:2*1****3,15
*=*1****2(***2)*1,10
***=*1*****1,9
*=*1****=**(=*)***(=*)**1,15
*=*1****2=*1***1:*:*:*:*:*:1*2,16
*1**2*=**=**2=*1,9
*=*1(=*)*=****12**2,10
*******=*=*,9
*:*:*1:*(:*)*****1,10
*=*1***2(*1)*1****2***1,14
**(=*)*(=*)*:*:*,8
*1**2**1**21***2:*:*:*:*:*:21,15
*=*1***(=**=*2*******2)*1,16
**=**(=*)*=*,7
***1*****1*,9
*=*1*2:*:*:*:*:*:2*(=*)*12***=**2,16
*.*=*****1:*:*:*:*:*:1,12
*=*1**2*=**3=*(*2*1)*(=*)***3,15
**(=*)**=*1**(=*)*(=*)*1,12
**(**(*)(*)*)*=*,9
*=*1**2*3****(***2=*1)*=*3,15
*=*1**(=*)*2:*:*:*:*3:*:*:*(:*:2:3)*1,15
****(=*)*(*)**(*)(=*)=*,12
*1**2**=**3****3**2*1,14
*=*1****=*2*1***1:*:*:*:*:*:12,16
****(=*)*(*)*(*)**,11
*1**2:*(:*3:*:*:*:*:3:*3:*:*:*:*:*:2:3)*1,16
**(*)***(**=*)*(*)=*,12
*=*1**(=*)*2:*(:*:*:*3:*:*:*:*:*:2:3)*1,16
*=*1:*:*:*2:*(=*):*:*:*:2:*:1,11
*****(=*)*****(*)=*,13
*1**2***(=****3**3*2)*1,14
**(=*)*(**=*)*(**=*)*(*)=*,14
*=*1:*:*:*2:*(:*:1)*1*****1**2,15
*=*1**2***3****1*32,12
*1***2**3:*:*:*:*:*:3*2**1,14
***=*1:*:*:*:*:1,8
*=*1***2*(***3*2****3=*)*1,16
*=**=***1*****1,11
**(=*)*(=**=*)*#*,9
*=*1*=**2*(=*)*3:*:*:*:*:*:3**2=*1,16
*=*1:*:*:*:*2:*:*:*:*(=*):*:1:2,12
*1***2*(*1)***1=*2*2***(*2)*1,16
*=*1*=**23****4(***=*4**12)*3,16
*=*1**2=****3*=**(=*)*3**2=*1,16
**1****1*:*:*:*:*,11
*=*1***2*3**4**2(*1)*1*4***31,16
*1***2*3***(**3)*2*1,12
*1**2:*:*3:*(:*:*:2*1)*=*1***=*1*3,16
****(**)*(*)*,9
*=*1**2***3***=**3*2*1,14
*1**2*=*3****34****4*2*1,15
***********(**)**,15
*=*1**23*=**(**2=*1)*1:*:*:*:*:*:13,16
*=*1(=*)*2:*:*:*:*:*:2**2:*:*:*:*:*:21,16
*1**2**1*2,6
*=*1****2=*1*1****(*1)*2,14
*1**2**=**2*2:*:*:*:*:*:2*1,14
*=*1***23***(**12)*3,11
*=*1:*:*2:*(:*3:*:*:*:*:*:1:3)*=***2,15
*1**2:*(:*:*3:*:*:*:*:*:2:3)*2:*:*:*:*:21,16
*1**2***3(****3)**2*1,13
**(*)****(=*)****=*,13
*1***2:*:*:*:*:2*1,9
*1***23****2=****3*1,13
*1*=***2*1**1:*:*:*:*:*:12,13
*=*1***2=**=***2*1,11
*=*1(=*)***2:*:*:*:*:*:2*1,12
*=*1**(=*)**2(****3:*:*:*:*:32)*1,16
**(*)*(=*)(=*)*(=*)*#*,10
**(*)**(*****=*)**(*)*,15
*=*1*=***2**3:*:*:*:*:*:3*=*21,15
***(=*)(=*)**(=*)*(*)*(*)*(*)*,15
**(=*)*:*,5
*1**2**1**1:*2:*:*2:*:*:*:*:*:1:2,15
*=*1***=*****=*1,11
*=*1**2**3**3******2*1=*,16
***(=*)****(=*)*****=*,15
**=**(*=*)=***=*,10
*=*1*=***12**=**2=*,11
*=*1**(=*)*2*1**1=**(=*)*(=*)*21,15
*=*1****12**1***(*1)*2,13
*=*1*=**2****2=*1,10
*1**2**3**4:*:*:*:*:*:4*3**2*1,16
*=*1**2(**=*1)**1:*:*:*:*:*:1*2=*,16
**********=*,11
*1**2:*:*3:*:*4:*(:*:*:3:*:*:2*1)***4,16
*=*1**(=*)(=*)*2*3*=**(*4*=**43)*21,16
*=*1***2**3***(=*)*3**2*1,15
****(*)*(=*)(=*)****=*,13
**(***(*)(=*)=*)***(*)(=*)=*,14
*=*1***2(**1)***(=*)**2,13
*=*1****12**1*****1*2=*,15
*1****2(**1)**1:*:*:*:*:*:1*=*2,16
***(=*)*(*)=**#*,9
*=*1:*:*(=*):*:*(=*):*:1,9
*=*1****12****2,10
*.****1:*:*:*:*:*:1,10
*=*1(=*)****2:*:*:*:*:*:2*1,13
*1***2*(*1)***1=**3***3**21,16
*=*1*=**2**3**(**21)*(=*)*(=*)*3,16
*=*1****=**2**2**1,12
****(***(**)**)*(*)=*,14
*=*1***2:*:*(=*):*:*:*:2*1,12
*******(*)(=*)**,11
**(=*)*(*#*)=*(*)*,9
*1**2**(*1)*1=*(***1)*2,12
**************=*,15
**.*=*,4
*=*1***2***=****=***21,15
**(=*)*#*,5
***(=*)**=**(*)=*,10
*******(*)(*)*(*)=*,12
*1**2***3**4:*:*:*:*:*:4*3(*1)*2,16
*=*1**2:*:*:*3:*:*:*:*:*:3:*:2*2**21,16
*=*1(=*)*2:*:*:*:*:*:2**2:*:*:*:*:21,15
*1***23****2****3*1,13
*1*****1,6
*1**2=*(*1)*1**=**1**2,12
*1**2=***3:*:*:*:*:*:3*2=*1,13
*1**2*(*1)*1***2*2***12,13
*=*1*2**3**4***2*4*(=*)*1*3,15
**(=*)**(**(=*)*=*)*(*)=*,13
*=*1*=***2*=**=**21,11
*1:*:*2:*3:*:*:*:*:3:*3:*:*:*:*:3:*:2:*:1,15
**(**=*)*(=*)****(*)=*,13
*=*1*2:*:*:*:*:*:2*(=*)*2:*:*:*:*:21,15
*1***2**3:*:*:*:*:3**2*1,13
*=*1*2:*:*:*:*:*:2*(=*)*12***=*2,15
*=*******#*,9
*=*1*******2*(**=**2=*)*1,16
*=*(:*:*:*):*:*:*:*,9
*=**(=*)***:*:*:*:*,11
*=*1:*:*:*2:*(=*):*:*(=*):*:*:2:*:1,13
****(***)*(=*)(**)****=*,16
*=*:*:*(=*):*,6
*=*1:*:*(=*):*2:*:*3:*:*:*:*(=*):*:3:*:2:*:1,16
***:*:*,5
*1**2*3**=**(*3)*2*1,11
*=*1**2*(=***3:*:*:*:*:*:32)*(=*)*1,16
